Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job? ,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
13363825054,415544481,02/28/2022 09:55:15 PM,02/28/2022 09:55:55 PM,,,,,7d0ee8699031410e6eefd0f3e5,smc,,,,Advertising & Marketing,Food preparation worker,,Intermediate,,Alaska,Somewhat happy,Some High School,Widowed,Female,,Satisfied,A few times a month,Rarely,Usually,Below average,Once per week,Not so desirable,Neither agree nor disagree,"$100,000-$124,999",Female,Mountain,iOS Phone / Tablet,45-60
13363823224,415544481,02/28/2022 09:52:47 PM,02/28/2022 09:55:13 PM,,,,,e5bfab79e499d6e23e5ca26f41,smc,,,,Advertising & Marketing,Marketing specialist,,Owner/Executive/C-Level,,Louisiana,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a month,Always,Never,Average,I never work out or exercise,Somewhat desirable,Strongly agree,"$10,000-$24,999",Female,West South Central,iOS Phone / Tablet,30-44
13363822552,415544481,02/28/2022 09:50:42 PM,02/28/2022 09:54:55 PM,,,,,06ae3e20af679b1a86a72b7307,smc,,,,Business Support & Logistics,Customer service representative,,Middle Management,,New Jersey,Neither happy nor unhappy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a month,Sometimes,Never,Above average,Once per week,Very desirable,Strongly disagree,"$10,000-$24,999",Female,South Atlantic,iOS Phone / Tablet,30-44
13363822228,415544481,02/28/2022 09:52:21 PM,02/28/2022 09:54:48 PM,,,,,4258896d2697400b701794bf4d,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,,Hawaii,Very happy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Far below average,Several times per week,Somewhat desirable,Disagree,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,18-29
13363820939,415544481,02/28/2022 09:52:04 PM,02/28/2022 09:54:18 PM,,,,,a8d892aa17ec20ea0b50b287c8,smc,,,,"Construction, Machinery, and Homes",Construction worker,,Middle Management,,Maryland,Very happy,High School,Married or domestic partnership,Male,,Satisfied,About once a week,Usually,Never,Average,I never work out or exercise,Somewhat desirable,Strongly agree,"$50,000-$74,999",Male,South Atlantic,Android Phone / Tablet,45-60
13363820868,415544481,02/28/2022 09:52:24 PM,02/28/2022 09:54:18 PM,,,,,96c3cd11eb764129f6e5f88586,smc,,,,Education,Office clerk,,Senior Management,,California,Very happy,High School,,,,Very satisfied,Every day,,,Far above average,,,,"$125,000-$149,999",Female,Pacific,iOS Phone / Tablet,30-44
13363820678,415544481,02/28/2022 09:51:41 PM,02/28/2022 09:54:14 PM,,,,,62f367343c69d02437c3834224,smc,,,,Retail & Consumer Durables,Operations manager,,Owner/Executive/C-Level,,Ohio,Very happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a week,Usually,Rarely,Above average,Several times per week,Extremely desirable,Strongly disagree,"$75,000-$99,999",Female,East North Central,iOS Phone / Tablet,30-44
13363820553,415544481,02/28/2022 09:52:15 PM,02/28/2022 09:54:11 PM,,,,,7417061e2bc1f33cfdcedb3286,smc,,,,Healthcare & Pharmaceuticals,Software developer,,Intermediate,,South Carolina,Somewhat happy,High School,Married or domestic partnership,Female,,Very dissatisfied,Less than once a month,Rarely,Usually,Below average,Once per week,Not so desirable,Strongly agree,"$100,000-$124,999",Female,South Atlantic,iOS Phone / Tablet,30-44
13363820312,415544481,02/28/2022 09:52:18 PM,02/28/2022 09:54:05 PM,,,,,12aa10e6665eba873b421c5b64,smc,,,,Healthcare & Pharmaceuticals,Administrative assistant,Tech,Entry Level,,Kentucky,Very happy,High School,"Single, never married",Female,,Satisfied,About once a week,Sometimes,,Average,Every day of the week,Very desirable,Strongly agree,"$125,000-$149,999",Female,East South Central,iOS Phone / Tablet,18-29
13363820279,415544481,02/28/2022 09:51:22 PM,02/28/2022 09:54:04 PM,,,,,c588ef5ed630b9182d63439c05,smc,,,,Healthcare & Pharmaceuticals,Operations manager,Pharmacist,Middle Management,,Georgia,Somewhat happy,Ph.D. or higher,Married or domestic partnership,Female,,Very satisfied,A few times a week,Usually,Rarely,Above average,Every day of the week,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,18-29
13363819494,415544481,02/28/2022 09:51:52 PM,02/28/2022 09:53:48 PM,,,,,d69dfe2d8f9721185864bc0577,smc,,,,Insurance,Customer service representative,Account manager,Intermediate,,Arizona,Somewhat unhappy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,About once a week,Always,Never,Average,Every day of the week,Somewhat desirable,Neither agree nor disagree,"$175,000-$199,999",Female,Mountain,iOS Phone / Tablet,18-29
13363819063,415544481,02/28/2022 09:52:18 PM,02/28/2022 09:53:37 PM,,,,,2c20cb44a3ec5cf37eb6f3f625,smc,,,,"Telecommunications, Technology, Internet & Electronics",Administrative assistant,,Middle Management,,Kentucky,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a week,Sometimes,Rarely,Far above average,Several times per week,Extremely desirable,Somewhat agree,"$25,000-$49,999",Female,East South Central,iOS Phone / Tablet,18-29
13363818784,415544481,02/28/2022 09:51:59 PM,02/28/2022 09:53:30 PM,,,,,0657f9df909c0d49c6f0ace8bf,smc,,,,I am currently not employed,Food preparation worker,Homemaker,Owner/Executive/C-Level,,West Virginia,Very happy,Trade/Vocation School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,About once a week,Sometimes,Sometimes,Above average,Several times per week,Very desirable,Agree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,30-44
13363818723,415544481,02/28/2022 09:51:43 PM,02/28/2022 09:53:28 PM,,,,,aba27a3d6630045a027cf85bf2,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,CNA,Intermediate,,Connecticut,Somewhat happy,Trade/Vocation School,"Single, never married",Female,,Satisfied,A few times a month,Usually,Sometimes,Above average,Every day of the week,Extremely desirable,Disagree,"$10,000-$24,999",Female,New England,iOS Phone / Tablet,30-44
13363818651,415544481,02/28/2022 09:50:36 PM,02/28/2022 09:53:26 PM,,,,,b51f7de641e95db1245ea8f29f,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,,New York,Somewhat happy,High School,Separated,Female,,Dissatisfied,Less than once a month,Sometimes,Never,Average,Once per week,Very desirable,Strongly agree,"$25,000-$49,999",Female,Middle Atlantic,iOS Phone / Tablet,30-44
13363818365,415544481,02/28/2022 09:51:50 PM,02/28/2022 09:53:19 PM,,,,,2bc9aab25a134d468fdfa21f24,smc,,,,Retail & Consumer Durables,Cashier,,Entry Level,,Oregon,Very happy,High School,"Single, never married",Female,,Very satisfied,A few times a month,Sometimes,Never,Average,Every day of the week,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,30-44
13363818327,415544481,02/28/2022 09:51:42 PM,02/28/2022 09:53:18 PM,,,,,5e74ab7400726776d9e698b616,smc,,,,Airlines & Aerospace (including Defense),Customer service representative,,Middle Management,,Washington,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Sometimes,Far above average,Several times per week,Very desirable,Neither agree nor disagree,Prefer not to answer,Female,Pacific,iOS Phone / Tablet,18-29
13363817542,415544481,02/28/2022 09:50:43 PM,02/28/2022 09:53:14 PM,,,,,7a91cbbc8e523ffe6c3961f064,smc,,,,Healthcare & Pharmaceuticals,Construction worker,Project Manager,Middle Management,,Colorado,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a week,Usually,Never,Above average,Once per week,Somewhat desirable,Strongly disagree,"$200,000+",Female,Mountain,Windows Desktop / Laptop,30-44
13363818055,415544481,02/28/2022 09:51:51 PM,02/28/2022 09:53:10 PM,,,,,d955129c699b538cf4fef8b32c,smc,,,,Advertising & Marketing,Laborer,,Owner/Executive/C-Level,,Texas,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,About once a week,Never,Sometimes,Average,Less than once per week,Very desirable,Disagree,"$25,000-$49,999",Female,West South Central,Android Phone / Tablet,18-29
13363817972,415544481,02/28/2022 09:50:59 PM,02/28/2022 09:53:08 PM,,,,,159744db12ac7af8d3695476c2,smc,,,,"Telecommunications, Technology, Internet & Electronics",Administrative assistant,,Intermediate,,Oregon,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,A few times a month,Rarely,Never,Average,Less than once per week,Somewhat desirable,,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,18-29
13363817610,415544481,02/28/2022 09:51:33 PM,02/28/2022 09:52:58 PM,,,,,690a2b2357f41a4c3643da5b01,smc,,,,Food & Beverages,Customer service representative,,Entry Level,,Tennessee,Neither happy nor unhappy,High School,"Single, never married",Other (specify),nonbinary,Dissatisfied,Less than once a month,Sometimes,Sometimes,Above average,I never work out or exercise,Not so desirable,Somewhat agree,Prefer not to answer,Female,East South Central,Android Phone / Tablet,18-29
13363817438,415544481,02/28/2022 09:52:11 PM,02/28/2022 09:52:54 PM,,,,,22adfcf1f36d46d26caaf476c4,smc,,,,Entertainment & Leisure,Stocking associate,,Owner/Executive/C-Level,,New Jersey,Very happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,Every day,Always,Sometimes,Above average,Several times per week,Extremely desirable,Somewhat disagree,"$50,000-$74,999",Female,Middle Atlantic,Android Phone / Tablet,18-29
13363817428,415544481,02/28/2022 09:51:12 PM,02/28/2022 09:52:54 PM,,,,,451301ff6b4315917a562a57de,smc,,,,Airlines & Aerospace (including Defense),Bartender,,Middle Management,,Connecticut,Somewhat happy,Some High School,"Single, never married",Female,,Very satisfied,A few times a week,Usually,Usually,Far above average,Every day of the week,Extremely desirable,Agree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,18-29
13363817421,415544481,02/28/2022 09:51:05 PM,02/28/2022 09:52:55 PM,,,,,cd302d955f5a6c779ae973de05,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Entry Level,,Florida,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Very satisfied,Every day,Always,Never,Far below average,Several times per week,Very desirable,Strongly disagree,"$75,000-$99,999",Female,South Atlantic,Android Phone / Tablet,30-44
13363817365,415544481,02/28/2022 09:51:35 PM,02/28/2022 09:52:51 PM,,,,,30e0dd4b8c115489d70ca8c906,smc,,,,Agriculture,Construction worker,,Owner/Executive/C-Level,,New Jersey,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Rarely,Above average,Several times per week,Very desirable,Agree,"$50,000-$74,999",Female,Middle Atlantic,Android Phone / Tablet,30-44
13363817222,415544481,02/28/2022 09:51:38 PM,02/28/2022 09:52:48 PM,,,,,69fa9bad49ccf8d8447981f8f5,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,,Florida,Very happy,Bachelor's Degree,"Single, never married",Female,,Very satisfied,A few times a week,Always,Never,Far above average,Once per week,Somewhat desirable,Strongly disagree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,18-29
13363816980,415544481,02/28/2022 09:50:49 PM,02/28/2022 09:52:42 PM,,,,,718bccc608f56e19ede268020e,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Intermediate,,Virginia,Somewhat happy,Master's Degree,"Single, never married",Female,,Satisfied,About once a week,Always,Never,Above average,Every day of the week,Very desirable,Strongly disagree,"$50,000-$74,999",Female,South Atlantic,iOS Phone / Tablet,18-29
13363816786,415544481,02/28/2022 09:41:56 PM,02/28/2022 09:52:37 PM,,,,,45f268ff243c960fb81deff19c,smc,,,,Entertainment & Leisure,Operations manager,Arts Administrator,Senior Management,,Michigan,Very happy,Master's Degree,Divorced,Female,,Very satisfied,About once a week,Sometimes,Never,Above average,Several times per week,Somewhat desirable,Strongly disagree,"$50,000-$74,999",Female,East North Central,iOS Phone / Tablet,30-44
13363816776,415544481,02/28/2022 09:50:37 PM,02/28/2022 09:52:37 PM,,,,,392583d5467877d9b6820b56a6,smc,,,,Agriculture,Customer service representative,Sales,Intermediate,,California,,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Always,Sometimes,Average,Every day of the week,Somewhat desirable,Strongly disagree,"$75,000-$99,999",Female,Pacific,iOS Phone / Tablet,45-60
13363816741,415544481,02/28/2022 09:50:38 PM,02/28/2022 09:52:36 PM,,,,,ff32521728848ab56310d37248,smc,,,,Entertainment & Leisure,Marketing specialist,analyst,Intermediate,,New York,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Dissatisfied,Once a month,Rarely,Never,Far above average,Several times per week,Extremely desirable,Strongly disagree,"$100,000-$124,999",Female,Middle Atlantic,Android Phone / Tablet,30-44
13363815888,415544481,02/28/2022 09:50:27 PM,02/28/2022 09:52:15 PM,,,,,5f0d3f0f5020539c26514a6057,smc,,,,Food & Beverages,Food preparation worker,,Senior Management,,Pennsylvania,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Satisfied,A few times a month,Usually,Never,Average,Once per week,Not so desirable,Neither agree nor disagree,"$10,000-$24,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363815388,415544481,02/28/2022 09:50:35 PM,02/28/2022 09:52:00 PM,,,,,2bff5366dc0c26704d69758548,smc,,,,Entertainment & Leisure,Operations manager,Managing editor,Middle Management,,Texas,Very unhappy,Ph.D. or higher,"Single, never married",Female,,Neither satisfied nor dissatisfied,A few times a week,Never,Never,Average,Once per week,,,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,18-29
13363815249,415544481,02/28/2022 09:50:44 PM,02/28/2022 09:51:57 PM,,,,,875c9dacdd4c0a38b929284e87,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Middle Management,,Connecticut,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Usually,Never,Above average,Once per week,Somewhat desirable,Agree,"$75,000-$99,999",Male,New England,iOS Phone / Tablet,30-44
13363814578,415544481,02/28/2022 09:50:53 PM,02/28/2022 09:51:40 PM,,,,,723c211eeed577048c3fc2ba40,smc,,,,Advertising & Marketing,Bartender,,Owner/Executive/C-Level,,Connecticut,Very happy,High School,Married or domestic partnership,Female,,Satisfied,A few times a month,Always,Always,Far above average,Several times per week,Very desirable,Somewhat agree,"$0-$9,999",Female,New England,iOS Phone / Tablet,30-44
13363814079,415544481,02/28/2022 09:49:13 PM,02/28/2022 09:51:26 PM,,,,,fe4b7e386f761b609ec05bca56,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Middle Management,,New York,,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,Every day,,,Above average,,,,"$50,000-$74,999",Male,Middle Atlantic,Android Phone / Tablet,18-29
13363813821,415544481,02/28/2022 09:50:16 PM,02/28/2022 09:51:19 PM,,,,,67a9521c89d04268f28a3e1860,smc,,,,Agriculture,Cashier,None,Middle Management,,Florida,Neither happy nor unhappy,Bachelor's Degree,Widowed,Male,,Neither satisfied nor dissatisfied,About once a week,Sometimes,Sometimes,Far above average,Every day of the week,Somewhat desirable,Neither agree nor disagree,"$50,000-$74,999",Female,South Atlantic,iOS Phone / Tablet,30-44
13363813670,415544481,02/28/2022 09:50:13 PM,02/28/2022 09:51:16 PM,,,,,59bc36f92068c0aca1ca0e8ddb,smc,,,,Healthcare & Pharmaceuticals,Administrative assistant,,Entry Level,,Minnesota,Somewhat happy,High School,"Single, never married",Female,,Dissatisfied,Less than once a month,Never,Never,Average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Female,West North Central,iOS Phone / Tablet,18-29
13363813575,415544481,02/28/2022 09:49:38 PM,02/28/2022 09:51:13 PM,,,,,c8458127444fe703488256a3f4,smc,,,,Entertainment & Leisure,Janitor,,Middle Management,,Georgia,Very happy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Every day of the week,Somewhat desirable,Neither agree nor disagree,"$0-$9,999",Female,South Atlantic,iOS Phone / Tablet,18-29
13363812784,415544481,02/28/2022 09:49:57 PM,02/28/2022 09:50:52 PM,,,,,55ec6fea5795544d97f37affe3,smc,,,,"Construction, Machinery, and Homes",Cashier,,Owner/Executive/C-Level,,California,Somewhat happy,Ph.D. or higher,Widowed,Female,,Satisfied,A few times a month,Always,Never,Above average,Every day of the week,Not so desirable,Neither agree nor disagree,"$0-$9,999",Male,,Android Phone / Tablet,18-29
13363810971,415544481,02/28/2022 09:47:09 PM,02/28/2022 09:50:06 PM,,,,,d774ccfe77d3145618f5b71b33,smc,,,,Government,Line supervisor,,Middle Management,,New Jersey,Neither happy nor unhappy,High School,Married or domestic partnership,Male,,Satisfied,A few times a week,Sometimes,Never,Average,Once per week,Somewhat desirable,Strongly disagree,"$50,000-$74,999",Male,Middle Atlantic,Android Phone / Tablet,> 60
13363810893,415544481,02/28/2022 09:28:34 PM,02/28/2022 09:50:02 PM,,,,,5df9b54f63c6418215dc9cf441,smc,,,,Airlines & Aerospace (including Defense),Food preparation worker,,Entry Level,,Connecticut,Very happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,Less than once a month,Rarely,Usually,Average,Every day of the week,Extremely desirable,Neither agree nor disagree,"$0-$9,999",Female,New England,iOS Phone / Tablet,18-29
13363807879,415544481,02/28/2022 09:47:51 PM,02/28/2022 09:48:41 PM,,,,,5dc12e92cce486e7c2cc8b3f8c,smc,,,,Agriculture,Laborer,,Owner/Executive/C-Level,,Connecticut,Neither happy nor unhappy,High School,Married or domestic partnership,Male,,Satisfied,A few times a week,Sometimes,Sometimes,Above average,Several times per week,Very desirable,Somewhat agree,"$25,000-$49,999",Male,New England,Android Phone / Tablet,18-29
13363807047,415544481,02/28/2022 09:46:05 PM,02/28/2022 09:48:18 PM,,,,,333adad3386309bdfb07e8b6d9,smc,,,,Finance & Financial Services,Office clerk,Social worker,Intermediate,,Texas,Somewhat happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a week,Sometimes,Never,Average,Several times per week,Somewhat desirable,Disagree,"$175,000-$199,999",Female,West South Central,iOS Phone / Tablet,30-44
13363807045,415544481,02/28/2022 09:46:02 PM,02/28/2022 09:48:19 PM,,,,,d1231d158512ae49e0082acc6c,smc,,,,Business Support & Logistics,Bookkeeper,,Middle Management,,Florida,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a month,Usually,Rarely,Above average,Several times per week,Not so desirable,Disagree,"$50,000-$74,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13363805096,415544481,02/28/2022 09:45:21 PM,02/28/2022 09:47:27 PM,,,,,23b9942af19a63ce9fd2add478,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,,Minnesota,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a week,,,Below average,Less than once per week,Not so desirable,Neither agree nor disagree,"$50,000-$74,999",Female,West North Central,iOS Phone / Tablet,30-44
13363804948,415544481,02/28/2022 09:44:42 PM,02/28/2022 09:47:22 PM,,,,,8908703ea6e2a8eaa4db467492,smc,,,,I am currently not employed,Administrative assistant,security,Intermediate,,Nevada,Neither happy nor unhappy,High School,Married or domestic partnership,Male,,Satisfied,About once a week,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Male,Mountain,Android Phone / Tablet,30-44
13363802239,415544481,02/28/2022 09:40:41 PM,02/28/2022 09:46:09 PM,,,,,0f1793f181f48b4f9b0aa09561,smc,,,,Food & Beverages,Food preparation worker,,Middle Management,,South Carolina,Very happy,High School,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Far below average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Male,South Atlantic,iOS Phone / Tablet,> 60
13363801486,415544481,02/28/2022 09:43:47 PM,02/28/2022 09:45:50 PM,,,,,a79de03063318e8117518f919a,smc,,,,Finance & Financial Services,Retail sales associate,,Owner/Executive/C-Level,,California,Somewhat happy,Master's Degree,"Single, never married",Male,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Once per week,Somewhat desirable,Strongly disagree,"$10,000-$24,999",Male,Mountain,MacOS Desktop / Laptop,> 60
13363800027,415544481,02/28/2022 09:43:03 PM,02/28/2022 09:45:10 PM,,,,,17d7cb2008046c459e017fcbb4,smc,,,,Retail & Consumer Durables,Cashier,,Entry Level,,New Hampshire,Somewhat happy,High School,Divorced,Female,,Very satisfied,A few times a week,Always,Never,Average,I never work out or exercise,Very desirable,Strongly disagree,"$0-$9,999",Female,New England,Android Phone / Tablet,45-60
13363798242,415544481,02/28/2022 09:41:54 PM,02/28/2022 09:44:22 PM,,,,,25cf5af3ca983b7650fa3a90de,smc,,,,Agriculture,Carpenter,,Senior Management,,Florida,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Never,Far above average,Every day of the week,Somewhat desirable,Strongly disagree,"$25,000-$49,999",Female,South Atlantic,Windows Desktop / Laptop,> 60
13363794370,415544481,02/28/2022 09:41:31 PM,02/28/2022 09:42:40 PM,,,,,7de7c4d3a4111db2d5ef666e6c,smc,,,,Education,Operations manager,teacher,Entry Level,,California,Somewhat happy,Master's Degree,,,,Neither satisfied nor dissatisfied,Less than once a month,,,Average,Once per week,Somewhat desirable,,Prefer not to answer,Male,Pacific,Android Phone / Tablet,18-29
13363793517,415544481,02/28/2022 09:38:46 PM,02/28/2022 09:42:22 PM,,,,,db5f595cc341ce0e53c31c1329,smc,,,,Finance & Financial Services,Operations manager,Financial analyst,Middle Management,,Florida,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Usually,Rarely,Average,Several times per week,Somewhat desirable,Disagree,"$100,000-$124,999",Male,South Atlantic,Android Phone / Tablet,45-60
13363791181,415544481,02/28/2022 09:38:40 PM,02/28/2022 09:41:16 PM,,,,,e0dcce1dee749a353692083d0d,smc,,,,Government,Police officer,,Intermediate,,Colorado,Somewhat happy,High School,Married or domestic partnership,Male,,Dissatisfied,Once a month,Always,Rarely,Average,Less than once per week,Somewhat desirable,Agree,"$50,000-$74,999",Male,Mountain,Android Phone / Tablet,30-44
13363790490,415544481,02/28/2022 09:39:17 PM,02/28/2022 09:40:59 PM,,,,,88eeee7591191dd41a7b52c6b2,smc,,,,Healthcare & Pharmaceuticals,Software developer,,Intermediate,,Wisconsin,Somewhat happy,Master's Degree,"Single, never married",Male,,Satisfied,About once a week,Usually,Never,Average,Less than once per week,Very desirable,Agree,"$100,000-$124,999",Male,East North Central,Android Phone / Tablet,18-29
13363790074,415544481,02/28/2022 09:38:54 PM,02/28/2022 09:40:48 PM,,,,,9ccb79b670e3908635cfbb496e,smc,,,,Nonprofit,Administrative assistant,Research,Intermediate,,Massachusetts,Somewhat happy,Ph.D. or higher,Married or domestic partnership,Female,,Dissatisfied,A few times a week,Sometimes,Sometimes,Above average,Less than once per week,Very desirable,Somewhat disagree,"$50,000-$74,999",Female,New England,iOS Phone / Tablet,30-44
13363789107,415544481,02/28/2022 09:38:45 PM,02/28/2022 09:40:21 PM,,,,,8b64592a7ddbc5315b9bf5da0a,smc,,,,Healthcare & Pharmaceuticals,Administrative assistant,,Owner/Executive/C-Level,,New York,Very happy,Ph.D. or higher,Married or domestic partnership,Female,,Very satisfied,Every day,Always,Never,Far above average,Every day of the week,Extremely desirable,Strongly agree,"$200,000+",Female,Middle Atlantic,Android Phone / Tablet,45-60
13363785329,415544481,02/28/2022 08:37:46 PM,02/28/2022 09:38:41 PM,,,,,6c7c82ef7d38a54de96d162bc6,smc,,,,Education,Operations manager,teacher,Other (please specify),teacher,Florida,Somewhat unhappy,Master's Degree,Married or domestic partnership,Female,,Satisfied,A few times a week,Rarely,Never,Above average,Less than once per week,Somewhat desirable,Strongly disagree,"$25,000-$49,999",Female,South Atlantic,Android Phone / Tablet,30-44
13363782472,415544481,02/28/2022 09:31:20 PM,02/28/2022 09:37:29 PM,,,,,7863818d952376c6abe52e8119,smc,,,,Advertising & Marketing,Marketing specialist,Graphic design,Owner/Executive/C-Level,,Oregon,Somewhat happy,Trade/Vocation School,"Single, never married",Female,,Satisfied,A few times a week,Always,Never,Far above average,Several times per week,Very desirable,Neither agree nor disagree,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,45-60
13363782398,415544481,02/28/2022 09:35:53 PM,02/28/2022 09:37:26 PM,,,,,9c3087a4d05671f254798ac153,smc,,,,"Construction, Machinery, and Homes",Laborer,,Entry Level,,Florida,Somewhat unhappy,Bachelor's Degree,"Single, never married",Male,,Very dissatisfied,Less than once a month,Rarely,Sometimes,Far below average,Every day of the week,Not so desirable,Somewhat disagree,"$75,000-$99,999",Male,,Android Phone / Tablet,18-29
13363781336,415544481,02/28/2022 09:35:12 PM,02/28/2022 09:36:59 PM,,,,,26d6fc1d8b3bccb3a99c25533e,smc,,,,Entertainment & Leisure,Office clerk,,Intermediate,,Mississippi,Very happy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Average,Several times per week,Somewhat desirable,Strongly disagree,"$25,000-$49,999",Female,East South Central,iOS Phone / Tablet,30-44
13363779244,415544481,02/28/2022 09:34:51 PM,02/28/2022 09:36:06 PM,,,,,737c5c2ce2e5cb9ed835d413ed,smc,,,,"Construction, Machinery, and Homes",Administrative assistant,,Middle Management,,New York,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Dissatisfied,About once a week,Usually,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$50,000-$74,999",Male,Middle Atlantic,Android Phone / Tablet,18-29
13363778714,415544481,02/28/2022 09:32:17 PM,02/28/2022 09:35:52 PM,,,,,35d7bc7bf5d4185e7a63a62952,smc,,,,I am currently not employed,Cashier,i’m a student,Other (please specify),student,Florida,Somewhat happy,High School,"Single, never married",Male,,Very satisfied,A few times a week,Usually,Never,Above average,Once per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13363778575,415544481,02/28/2022 09:33:03 PM,02/28/2022 09:35:48 PM,,,,,6e44f2ff1d61b05e0ca3994c23,smc,,,,Agriculture,Food preparation worker,Yes,Middle Management,,Alaska,Neither happy nor unhappy,Master's Degree,Widowed,Female,,Very satisfied,A few times a week,Usually,Usually,Below average,Less than once per week,Somewhat desirable,Somewhat agree,"$50,000-$74,999",Female,Middle Atlantic,iOS Phone / Tablet,30-44
13363777757,415544481,02/28/2022 09:33:45 PM,02/28/2022 09:35:26 PM,,,,,573e5f2f29e41e61e08d33fc4c,smc,,,,Insurance,Retail sales associate,,Intermediate,,Texas,Somewhat happy,High School,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Far above average,Several times per week,Extremely desirable,Neither agree nor disagree,"$75,000-$99,999",Male,West South Central,iOS Phone / Tablet,30-44
