Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
13363647552,415544481,02/28/2022 8:37:25 PM,02/28/2022 8:39:31 PM,,,,,296f36bb84b579b1f1eee5b55f,smc,,,,I am currently not employed,Retail sales associate,Other (please specify),retired,Florida,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Satisfied,Less than once a month,Usually,Rarely,Average,Every day of the week,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Female,South Atlantic,Android Phone / Tablet,> 60
13363647521,415544481,02/28/2022 8:37:52 PM,02/28/2022 8:39:30 PM,,,,,3b3dba6a1b0210abc1323b866a,smc,,,,Government,Bookkeeper,Middle Management,,Ohio,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Once a month,Always,Never,Above average,Once per week,Somewhat desirable,Strongly agree,"$75,000-$99,999",Male,East North Central,Android Phone / Tablet,45-60
13363646037,415544481,02/28/2022 8:37:12 PM,02/28/2022 8:38:55 PM,,,,,f53edf3d67f1cad7fce4332fb6,smc,,,,Retail & Consumer Durables,Cashier,Middle Management,,New York,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Every day of the week,Somewhat desirable,Neither agree nor disagree,"$200,000+",Female,Middle Atlantic,iOS Phone / Tablet,30-44
13363643403,415544481,02/28/2022 8:36:19 PM,02/28/2022 8:37:50 PM,,,,,c81bb056e4e72f097ae508bf85,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,Entry Level,,Illinois,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Above average,Several times per week,Not so desirable,Strongly agree,"$25,000-$49,999",Male,East North Central,Android Phone / Tablet,30-44
13363641059,415544481,02/28/2022 8:35:00 PM,02/28/2022 8:36:52 PM,,,,,25909d2067c029008625c9e83a,smc,,,,I am currently not employed,Cashier,Other (please specify),None,Ohio,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$0-$9,999",Female,East North Central,iOS Phone / Tablet,18-29
13363639271,415544481,02/28/2022 8:34:31 PM,02/28/2022 8:36:07 PM,,,,,1466116715ba10e98fd9343668,smc,,,,Government,Mechanic,Middle Management,,Mississippi,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,Once a month,Always,Never,Average,Less than once per week,Not so desirable,Agree,"$75,000-$99,999",Male,East South Central,iOS Phone / Tablet,45-60
13363638569,415544481,02/28/2022 8:32:41 PM,02/28/2022 8:35:48 PM,,,,,440977d50c8b9134faf8f74f9f,smc,,,,Business Support & Logistics,Retail sales associate,Middle Management,,Texas,Somewhat happy,High School,Married or domestic partnership,Female,,Very satisfied,Every day,Usually,Rarely,Above average,I never work out or exercise,Very desirable,Somewhat disagree,"$10,000-$24,999",Female,West South Central,Android Phone / Tablet,30-44
13363637388,415544481,02/28/2022 8:33:00 PM,02/28/2022 8:35:20 PM,,,,,27aee538567511b6be21745d6f,smc,,,,Agriculture,Food preparation worker,Senior Management,,Idaho,Neither happy nor unhappy,Master's Degree,Widowed,Female,,Neither satisfied nor dissatisfied,Once a month,Rarely,Rarely,Above average,Less than once per week,Not so desirable,Neither agree nor disagree,"$50,000-$74,999",Male,,iOS Phone / Tablet,18-29
13363637318,415544481,02/28/2022 8:34:30 PM,02/28/2022 8:35:18 PM,,,,,1e49920312388c99739ee54e26,smc,,,,Entertainment & Leisure,Stocking associate,Intermediate,,Massachusetts,Neither happy nor unhappy,Master's Degree,"Single, never married",Female,,Satisfied,About once a week,Usually,Rarely,Above average,Several times per week,Somewhat desirable,Somewhat agree,"$100,000-$124,999",Female,New England,iOS Phone / Tablet,18-29
13363635796,415544481,02/28/2022 8:32:57 PM,02/28/2022 8:34:40 PM,,,,,2b64bc4ced782b32c717431a0f,smc,,,,"Telecommunications, Technology, Internet & Electronics",Line supervisor,Intermediate,,Wisconsin,Very unhappy,Bachelor's Degree,"Single, never married",Male,,Very dissatisfied,Every day,Sometimes,Never,Average,Several times per week,Not at all desirable,Neither agree nor disagree,"$25,000-$49,999",Male,East North Central,Android Phone / Tablet,18-29
13363633582,415544481,02/28/2022 8:29:03 PM,02/28/2022 8:33:46 PM,,,,,762ab7bb66fa29c830ed7ed119,smc,,,,Insurance,"Office clerk, Risk Management Specialist",Intermediate,,Louisiana,Neither happy nor unhappy,Trade/Vocation School,"Single, never married",Female,,Very dissatisfied,Once a month,Never,Always,Above average,Once per week,Not so desirable,Strongly agree,"$10,000-$24,999",Female,West South Central,iOS Phone / Tablet,30-44
13363631483,415544481,02/28/2022 8:31:18 PM,02/28/2022 8:32:54 PM,,,,,6e76ac5142e4794c5a0b2a8771,smc,,,,Finance & Financial Services,Administrative assistant,Middle Management,,Illinois,Somewhat happy,Master's Degree,"Single, never married",Male,,Satisfied,A few times a month,Always,Never,Far above average,Once per week,Extremely desirable,Strongly disagree,"$75,000-$99,999",Male,East North Central,iOS Phone / Tablet,18-29
13363627192,415544481,02/28/2022 8:29:23 PM,02/28/2022 8:31:07 PM,,,,,255209fa63cd054889008b0cc7,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Intermediate,,California,Somewhat happy,Ph.D. or higher,"Single, never married",Female,,Neither satisfied nor dissatisfied,About once a week,Usually,Sometimes,Average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Female,Pacific,iOS Phone / Tablet,30-44
13363625395,415544481,02/28/2022 8:28:59 PM,02/28/2022 8:30:20 PM,,,,,b82b0c0c711aeb906680598223,smc,,,,Transportation & Delivery,Truck Driver,Intermediate,,Texas,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Once a month,Sometimes,Sometimes,Below average,Less than once per week,Not at all desirable,Somewhat disagree,"$75,000-$99,999",Female,West South Central,iOS Phone / Tablet,30-44
13363625113,415544481,02/28/2022 8:28:49 PM,02/28/2022 8:30:12 PM,,,,,08f37c4fc7c2b4cb7be67665c9,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Entry Level,,New Jersey,Somewhat happy,Trade/Vocation School,"Single, never married",Female,,Satisfied,Once a month,Usually,Never,Above average,Once per week,Somewhat desirable,Somewhat agree,"$0-$9,999",Female,Middle Atlantic,Android Phone / Tablet,45-60
13363625036,415544481,02/28/2022 8:28:11 PM,02/28/2022 8:30:11 PM,,,,,9709c9b7047345e176d67a3ad0,smc,,,,Government,"Police officer, Firefighter",Middle Management,,Alabama,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Always,Never,Average,Less than once per week,Not at all desirable,Strongly agree,"$50,000-$74,999",Male,East South Central,iOS Phone / Tablet,30-44
13363624591,415544481,02/28/2022 8:28:42 PM,02/28/2022 8:30:00 PM,,,,,9a3c13fe8fba335fdfe7145ce7,smc,,,,Automotive,Administrative assistant,Intermediate,,Florida,Neither happy nor unhappy,High School,"Single, never married",Male,,Very dissatisfied,Less than once a month,Usually,Never,Average,Several times per week,Not so desirable,Neither agree nor disagree,"$75,000-$99,999",Male,South Atlantic,Android Phone / Tablet,18-29
13363621171,415544481,02/28/2022 8:27:32 PM,02/28/2022 8:28:34 PM,,,,,dc371d3113a1437fff6a8bff1c,smc,,,,Manufacturing,Operations manager,Middle Management,,Illinois,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Far above average,Several times per week,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Male,East North Central,Android Phone / Tablet,45-60
13363619675,415544481,02/28/2022 8:25:41 PM,02/28/2022 8:27:59 PM,,,,,0ca178ae4a9eb6d0a62295179c,smc,,,,Food & Beverages,Bartender,Entry Level,,California,Somewhat happy,High School,,Male,,Dissatisfied,Less than once a month,Usually,Sometimes,Above average,Several times per week,Very desirable,Agree,"$10,000-$24,999",Female,Pacific,Android Phone / Tablet,45-60
13363619029,415544481,02/28/2022 8:22:27 PM,02/28/2022 8:27:42 PM,,,,,e14bea4b5e2ed5d9dd4ed06b1a,smc,,,,I am currently not employed,Stocking associate,Other (please specify),Unemployed,Illinois,Neither happy nor unhappy,High School,Widowed,Female,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Far below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree,"$10,000-$24,999",Female,East North Central,iOS Phone / Tablet,> 60
13363617135,415544481,02/28/2022 8:21:23 PM,02/28/2022 8:26:53 PM,,,,,daf63cffd7cffe0f61c43ee42c,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Intermediate,,Maryland,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Very satisfied,About once a week,Always,Never,Above average,Several times per week,Very desirable,Disagree,"$150,000-$174,999",Male,South Atlantic,Windows Desktop / Laptop,> 60
13363615973,415544481,02/28/2022 8:17:32 PM,02/28/2022 8:26:22 PM,,,,,1a2456f8f031961e014c647770,smc,,,,Automotive,Mechanic,Senior Management,,Georgia,Somewhat happy,Trade/Vocation School,"Single, never married",Male,,Satisfied,A few times a week,Always,Never,Above average,Several times per week,Not so desirable,Strongly agree,"$50,000-$74,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13363615542,415544481,02/28/2022 8:24:26 PM,02/28/2022 8:26:12 PM,,,,,8648d66c214da96f4e5aeee0b2,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Senior Management,,Nevada,Neither happy nor unhappy,Ph.D. or higher,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Usually,Rarely,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Male,Mountain,Windows Desktop / Laptop,> 60
13363615118,415544481,02/28/2022 8:24:29 PM,02/28/2022 8:26:00 PM,,,,,5ccc60c51631c4375ff5bd03bc,smc,,,,Advertising & Marketing,Marketing specialist,Entry Level,,Minnesota,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Dissatisfied,Once a month,Rarely,Never,Average,Less than once per week,Somewhat desirable,Disagree,"$10,000-$24,999",Male,West North Central,Android Phone / Tablet,18-29
13363614421,415544481,02/28/2022 8:24:28 PM,02/28/2022 8:25:43 PM,,,,,3f0a616debda279a119a3b5331,smc,,,,Healthcare & Pharmaceuticals,Operations manager,Senior Management,,Nevada,Very happy,Bachelor's Degree,"Single, never married",Male,,Satisfied,About once a week,Always,Never,Above average,Every day of the week,Very desirable,Disagree,"$200,000+",Male,Mountain,iOS Phone / Tablet,45-60
13363611062,415544481,02/28/2022 8:22:03 PM,02/28/2022 8:24:19 PM,,,,,791f70ddb2b23e1bcc0306aad0,smc,,,,Retail & Consumer Durables,Laborer,Owner/Executive/C-Level,,California,Very happy,High School,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Above average,I never work out or exercise,Somewhat desirable,Agree,"$10,000-$24,999",Male,Pacific,Android Phone / Tablet,30-44
13363609708,415544481,02/28/2022 8:21:22 PM,02/28/2022 8:23:45 PM,,,,,285e32bbdaa4fabcd48d2a62bb,smc,,,,Healthcare & Pharmaceuticals,Customer service representative,Intermediate,,New York,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,About once a week,Never,Never,Far below average,I never work out or exercise,Not so desirable,Neither agree nor disagree,Prefer not to answer,Male,Middle Atlantic,iOS Phone / Tablet,30-44
13363606972,415544481,02/28/2022 8:18:40 PM,02/28/2022 8:22:35 PM,,,,,7d71e9ebd5b773e3dff64b3641,smc,,,,I am currently not employed,"Customer service representative, Entrepreneur",Owner/Executive/C-Level,,Florida,Very happy,Trade/Vocation School,Married or domestic partnership,Female,,Satisfied,A few times a week,Usually,Never,Average,Several times per week,Very desirable,Disagree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13363606527,415544481,02/28/2022 8:19:18 PM,02/28/2022 8:22:24 PM,,,,,e88c0408ae5d3f8634bd1e549a,smc,,,,I am currently not employed,Administrative assistant,Other (please specify),Retired,North Carolina,Very happy,High School,Married or domestic partnership,Female,,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Strongly disagree,"$50,000-$74,999",Female,South Atlantic,Android Phone / Tablet,> 60
13363603999,415544481,02/28/2022 8:17:32 PM,02/28/2022 8:21:20 PM,,,,,b1ab87f1e85415b86938a7b233,smc,,,,Healthcare & Pharmaceuticals,Retail sales associate,Entry Level,,Texas,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Male,,Satisfied,A few times a month,Always,Never,Average,Several times per week,Very desirable,Disagree,"$100,000-$124,999",Male,West South Central,iOS Phone / Tablet,18-29
13363603350,415544481,02/28/2022 8:19:52 PM,02/28/2022 8:21:04 PM,,,,,449331f334a57a429876367ce9,smc,,,,Education,Operations manager,Middle Management,,Missouri,Somewhat unhappy,Master's Degree,Married or domestic partnership,Male,,Satisfied,A few times a month,Usually,Never,Average,Less than once per week,Not so desirable,Strongly agree,"$25,000-$49,999",Male,West North Central,Android Phone / Tablet,30-44
13363601305,415544481,02/28/2022 8:03:15 PM,02/28/2022 8:20:14 PM,,,,,231d37059998d1e8cc1eb2d1b0,smc,,,,Healthcare & Pharmaceuticals,Customer service representative,Entry Level,,Kentucky,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Male,,Very dissatisfied,Less than once a month,Never,Never,Average,I never work out or exercise,Not so desirable,Neither agree nor disagree,Prefer not to answer,Male,East South Central,Android Phone / Tablet,18-29
13363599892,415544481,02/28/2022 8:17:50 PM,02/28/2022 8:19:38 PM,,,,,577e518d09851446989854445f,smc,,,,I am currently not employed,Retail sales associate,Intermediate,,Alabama,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Sometimes,Average,Less than once per week,Not so desirable,Neither agree nor disagree,"$50,000-$74,999",Female,East North Central,Android Phone / Tablet,45-60
13363599617,415544481,02/28/2022 8:17:13 PM,02/28/2022 8:19:32 PM,,,,,8122ea18886c5d1e98cfed9766,smc,,,,"Construction, Machinery, and Homes","Office clerk, Human resources",Intermediate,,New York,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Satisfied,Once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree,Prefer not to answer,Male,Middle Atlantic,Android Phone / Tablet,30-44
13363592010,415544481,02/28/2022 8:14:48 PM,02/28/2022 8:16:17 PM,,,,,dc6729b13ada115956783de16f,smc,,,,Transportation & Delivery,Truck Driver,Entry Level,,California,Somewhat happy,Bachelor's Degree,Divorced,Male,,Satisfied,Once a month,Always,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Male,Pacific,iOS Phone / Tablet,45-60
13363587125,415544481,02/28/2022 7:20:01 PM,02/28/2022 8:14:15 PM,,,,,689883f7e7fffe63c9abcfc0a6,smc,,,,Automotive,Cashier,Entry Level,,Pennsylvania,Somewhat happy,High School,Married or domestic partnership,Female,,Very satisfied,A few times a week,Usually,Rarely,Far above average,Several times per week,Very desirable,Disagree,"$50,000-$74,999",Female,Middle Atlantic,iOS Phone / Tablet,18-29
13363582995,415544481,02/28/2022 8:10:37 PM,02/28/2022 8:12:31 PM,,,,,981237418f610d3d9790fb8efd,smc,,,,Entertainment & Leisure,Operations manager,Middle Management,,California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Usually,Rarely,Above average,Once per week,Very desirable,Somewhat agree,"$125,000-$149,999",Male,Pacific,Android Phone / Tablet,30-44
13363582514,415544481,02/28/2022 8:10:34 PM,02/28/2022 8:12:19 PM,,,,,b9e339ceb346c2c5a6c1ad38b2,smc,,,,Food & Beverages,Food preparation worker,Middle Management,,New Mexico,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Somewhat disagree,"$100,000-$124,999",Male,Mountain,Android Phone / Tablet,18-29
13363581046,415544481,02/28/2022 8:09:33 PM,02/28/2022 8:11:41 PM,,,,,30397b591c0ba53969d23b010e,smc,,,,Transportation & Delivery,Operations manager,Intermediate,,Michigan,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Usually,Rarely,Average,Once per week,Somewhat desirable,Disagree,"$50,000-$74,999",Male,East North Central,Android Phone / Tablet,45-60
13363575700,415544481,02/28/2022 8:08:12 PM,02/28/2022 8:09:32 PM,,,,,02c8b0d8f189f005364309ad99,smc,,,,Food & Beverages,Food preparation worker,Senior Management,,Kansas,Very happy,High School,Married or domestic partnership,Female,,Very satisfied,Less than once a month,Never,Never,Far below average,Once per week,Not at all desirable,Strongly disagree,"$10,000-$24,999",Female,West North Central,Android Phone / Tablet,45-60
13363573410,415544481,02/28/2022 8:05:01 PM,02/28/2022 8:08:31 PM,,,,,0c2d6c61b2744f77bb207c7b54,smc,,,,Education,"Laborer, Educator",Senior Management,,New York,Very happy,Bachelor's Degree,Divorced,Female,,Satisfied,About once a week,,Never,Average,Several times per week,Very desirable,Neither agree nor disagree,"$50,000-$74,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363570815,415544481,02/28/2022 8:04:47 PM,02/28/2022 8:07:30 PM,,,,,64d354815679e6959d1db042ae,smc,,,,"Utilities, Energy, and Extraction","Construction worker, Engineer",Entry Level,,Alabama,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Very satisfied,A few times a week,Always,Never,Above average,Less than once per week,Somewhat desirable,Strongly agree,"$50,000-$74,999",Female,East South Central,Android Phone / Tablet,18-29
13363570573,415544481,02/28/2022 8:05:45 PM,02/28/2022 8:07:25 PM,,,,,264bd3934bf6bd24e1fddf4e62,smc,,,,Retail & Consumer Durables,Retail sales associate,Entry Level,,Indiana,Somewhat happy,High School,"Single, never married",Female,,Very satisfied,A few times a week,Rarely,Rarely,Above average,I never work out or exercise,Very desirable,Neither agree nor disagree,"$100,000-$124,999",Female,East North Central,iOS Phone / Tablet,18-29
13363570443,415544481,02/28/2022 8:04:40 PM,02/28/2022 8:07:22 PM,,,,,d325f8804e3d7d451998355e11,smc,,,,Healthcare & Pharmaceuticals,"Laborer, Biller",Entry Level,,Arkansas,Very happy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Never,Always,Below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree,"$50,000-$74,999",Female,West South Central,iOS Phone / Tablet,30-44
13363566302,415544481,02/28/2022 8:04:33 PM,02/28/2022 8:05:44 PM,,,,,9e1bc29ee48e3fe0d862edca08,smc,,,,Education,Administrative assistant,Entry Level,,Arizona,Somewhat happy,High School,"Single, never married",Female,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat agree,"$25,000-$49,999",Female,Mountain,iOS Phone / Tablet,18-29
13363564216,415544481,02/28/2022 8:04:06 PM,02/28/2022 8:04:57 PM,,,,,6dec39fd7c4343a97715f7b4e6,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,Middle Management,,California,,Ph.D. or higher,,,,Neither satisfied nor dissatisfied,Less than once a month,,,Average,,,,"$100,000-$124,999",Female,Pacific,Android Phone / Tablet,30-44
13363564130,415544481,02/28/2022 7:55:37 PM,02/28/2022 8:04:54 PM,,,,,9c9e81d02372fd03e26a1d6add,smc,,,,Education,Software developer,Middle Management,,Illinois,Very happy,High School,Divorced,Female,,Very satisfied,Every day,Always,Never,Average,Several times per week,Very desirable,Strongly disagree,"$50,000-$74,999",Female,East North Central,iOS Phone / Tablet,30-44
13363563857,415544481,02/28/2022 8:01:40 PM,02/28/2022 8:04:48 PM,,,,,e59439eb0fd5eb0182687fa9c1,smc,,,,Nonprofit,"Customer service representative, Case management",Other (please specify),Professional,New Jersey,Somewhat happy,Master's Degree,"Single, never married",Female,,Very satisfied,A few times a week,Always,Sometimes,Average,Several times per week,Not at all desirable,Strongly agree,"$25,000-$49,999",Female,Middle Atlantic,Android Phone / Tablet,45-60
13363562853,415544481,02/28/2022 8:02:24 PM,02/28/2022 8:04:24 PM,,,,,a1cfe3a66e47e55086706d6a44,smc,,,,I am currently not employed,Operations manager,Other (please specify),retired by,Alabama,Very happy,High School,Married or domestic partnership,Male,,Satisfied,Less than once a month,Always,Never,Below average,I never work out or exercise,Not so desirable,Neither agree nor disagree,"$25,000-$49,999",Male,East South Central,Android Phone / Tablet,> 60
13363557821,415544481,02/28/2022 7:59:30 PM,02/28/2022 8:02:30 PM,,,,,85416a64d577b5e4c4824c38a8,smc,,,,Insurance,Software developer,Middle Management,,New York,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Disagree,"$100,000-$124,999",Male,Middle Atlantic,Windows Desktop / Laptop,> 60
13363552675,415544481,02/28/2022 7:58:58 PM,02/28/2022 8:00:31 PM,,,,,35c3b7f16caffa47a598b8bfdf,smc,,,,"Construction, Machinery, and Homes",Retail sales associate,Middle Management,,New York,Very happy,Bachelor's Degree,"Single, never married",Male,,Very satisfied,About once a week,Always,Sometimes,Above average,Several times per week,Very desirable,Strongly agree,"$75,000-$99,999",Male,Middle Atlantic,Android Phone / Tablet,30-44
13363546242,415544481,02/28/2022 7:55:11 PM,02/28/2022 7:58:31 PM,,,,,db8e7ae7736303f6abcb8be16d,smc,,,,Healthcare & Pharmaceuticals,"Laborer, Exercise instructor",Entry Level,,California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Female,,Very dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,> 60
13363545930,415544481,02/28/2022 7:55:09 PM,02/28/2022 7:57:41 PM,,,,,042c085ff69cfec590e68ca716,smc,,,,Real Estate,"Retail sales associate, Real Estate Agent",Middle Management,,New Jersey,Somewhat happy,Trade/Vocation School,Married or domestic partnership,Female,,Satisfied,About once a week,Sometimes,Sometimes,Above average,Several times per week,Somewhat desirable,Disagree,"$100,000-$124,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363543778,415544481,02/28/2022 7:55:38 PM,02/28/2022 7:56:45 PM,,,,,62f1ea03479f9ba06ea3b0d712,smc,,,,Government,Administrative assistant,Intermediate,,Colorado,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Never,Above average,Less than once per week,Not so desirable,Neither agree nor disagree,"$100,000-$124,999",Female,Mountain,iOS Phone / Tablet,18-29
13363543686,415544481,02/28/2022 7:55:12 PM,02/28/2022 7:56:43 PM,,,,,a188c6d93ee4c3b497bd6bf088,smc,,,,I am currently not employed,Customer service representative,Middle Management,,California,Very unhappy,High School,Divorced,Female,,Very dissatisfied,Less than once a month,Rarely,Always,Above average,Every day of the week,Extremely desirable,Neither agree nor disagree,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,45-60
13363543153,415544481,02/28/2022 7:55:40 PM,02/28/2022 7:56:31 PM,,,,,c2dd7d9fac254e106f1efd5bde,smc,,,,Advertising & Marketing,Food preparation worker,Owner/Executive/C-Level,,California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Sometimes,Usually,Average,Several times per week,,Somewhat agree,"$0-$9,999",Female,Pacific,iOS Phone / Tablet,18-29
13363540414,415544481,02/28/2022 7:50:45 PM,02/28/2022 7:55:21 PM,,,,,65ae3cd25d18478845de48211f,smc,,,,Retail & Consumer Durables,"Marketing specialist, Product Designer",Intermediate,,North Carolina,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Always,Never,Above average,Several times per week,Very desirable,Strongly agree,"$100,000-$124,999",Male,South Atlantic,iOS Phone / Tablet,30-44
13363538076,415544481,02/28/2022 7:43:51 PM,02/28/2022 7:54:23 PM,,,,,45de10052523c358e254e9d752,smc,,,,Insurance,Marketing specialist,Intermediate,,Texas,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very satisfied,A few times a week,Always,Never,Far above average,Once per week,Very desirable,Disagree,"$100,000-$124,999",Male,West South Central,Android Phone / Tablet,45-60
13363537722,415544481,02/28/2022 7:52:27 PM,02/28/2022 7:54:16 PM,,,,,f1a75a5d018cd99ef367293ef2,smc,,,,Manufacturing,Laborer,Intermediate,,Iowa,Neither happy nor unhappy,High School,"Single, never married",Female,,Dissatisfied,Less than once a month,Usually,Never,Average,Less than once per week,Not at all desirable,Agree,"$25,000-$49,999",Female,West North Central,Android Phone / Tablet,30-44
13363536250,415544481,02/28/2022 7:51:44 PM,02/28/2022 7:53:38 PM,,,,,1ba7fd7d579608169b39a789bc,smc,,,,Finance & Financial Services,"Administrative assistant, Analyst",Intermediate,,South Carolina,Very happy,High School,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Rarely,Average,I never work out or exercise,Not so desirable,Neither agree nor disagree,"$50,000-$74,999",Female,South Atlantic,Android Phone / Tablet,45-60
13363535249,415544481,02/28/2022 7:49:32 PM,02/28/2022 7:53:12 PM,,,,,7127d812e14d665ebdab5bfda0,smc,,,,I am currently not employed,Cashier,Entry Level,,California,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Average,I never work out or exercise,Not so desirable,Strongly disagree,"$10,000-$24,999",Female,Pacific,iOS Phone / Tablet,18-29
13363533310,415544481,02/28/2022 7:50:33 PM,02/28/2022 7:52:23 PM,,,,,6c6f4ff25943948ec403d75490,smc,,,,I am currently not employed,Electrician,Owner/Executive/C-Level,,Florida,Very happy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,A few times a month,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$50,000-$74,999",Male,South Atlantic,Windows Desktop / Laptop,> 60
13363532823,415544481,02/28/2022 7:47:07 PM,02/28/2022 7:52:10 PM,,,,,a2354bfcacad2eb8839edf8b43,smc,,,,Retail & Consumer Durables,Marketing specialist,Owner/Executive/C-Level,,Florida,Very happy,Ph.D. or higher,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Above average,I never work out or exercise,Very desirable,Strongly disagree,"$50,000-$74,999",Male,South Atlantic,Android Phone / Tablet,> 60
13363532807,415544481,02/28/2022 7:50:36 PM,02/28/2022 7:52:10 PM,,,,,a71db1e175c34eac50c21bb904,smc,,,,"Construction, Machinery, and Homes",Carpenter,Owner/Executive/C-Level,,New Jersey,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Less than once a month,Always,Never,Far above average,Several times per week,Very desirable,Somewhat disagree,"$125,000-$149,999",Male,Middle Atlantic,iOS Phone / Tablet,45-60
